4.5192,2.6487,1.0
2.4443,1.5438,1.0
4.2409,1.899,1.0
5.8097,2.4711,1.0
6.4423,3.359,1.0
5.8097,3.2406,1.0
6.3917,3.8128,1.0
6.8725,4.4441,1.0
6.7966,3.6747,1.0
8.163,4.7401,1.0
7.4038,3.8917,1.0
7.6316,4.602,1.0
7.7581,5.7265,1.0
6.5688,4.9571,1.0
5.3543,3.9903,1.0
4.4686,3.0236,1.0
2.9757,2.0568,1.0
2.4443,1.2676,1.0
0.9008,1.169,1.0
2.1154,1.7411,1.0
3.2794,1.386,1.0
4.165,1.5636,1.0
4.8482,1.8793,1.0
3.33,2.7868,1.0
5.1518,3.5563,1.0
6.2652,4.0693,1.0
6.2652,4.3849,1.0
7.2014,1.5438,1.0
7.6569,2.412,1.0
6.1387,1.7806,1.0
4.4939,1.4057,1.0
4.8735,2.6093,1.0
5.5314,3.0828,1.0
6.0121,3.9311,1.0
7.1508,4.7598,1.0
7.7075,5.3122,1.0
8.3148,5.7068,1.0
8.5172,5.1149,1.0
8.7449,5.4109,1.0
7.8593,3.8128,1.0
6.999,3.2406,1.0
5.5061,2.9052,1.0
4.9241,2.6882,1.0
6.6447,3.8325,1.0
7.6822,4.5428,1.0
8.0364,5.7857,1.0
8.9221,6.5552,1.0
7.8593,5.253,1.0
6.5941,5.2333,1.0
6.0374,4.7598,1.0
2.7227,4.5822,0.0
1.9383,3.6549,0.0
1.6852,2.9841,0.0
4.3168,4.4244,0.0
3.4312,3.7536,0.0
5.4808,5.2728,0.0
4.1144,4.8387,0.0
3.2034,4.4244,0.0
4.1144,5.3911,0.0
5.1012,6.0817,0.0
4.8988,5.5687,0.0
5.9615,6.4565,0.0
5.7591,6.0028,0.0
6.6953,6.7722,0.0
5.7338,6.6538,0.0
6.6194,7.1471,0.0
7.2014,7.5219,0.0
7.2014,6.8314,0.0
8.5931,7.6206,0.0
7.7581,7.1865,0.0
7.7581,7.7784,0.0
5.1012,7.6009,0.0
4.2156,6.496,0.0
3.4818,5.8055,0.0
2.3684,5.0163,0.0
1.7864,4.1876,0.0
0.9008,3.4379,0.0
0.9008,5.7857,0.0
1.9636,6.3382,0.0
1.4069,4.9571,0.0
2.419,6.8511,0.0
2.8745,6.0817,0.0
4.0132,7.1668,0.0
4.6711,7.226,0.0
5.1771,8.1533,0.0
6.2146,7.4825,0.0
5.4555,7.0484,0.0
5.9868,8.5084,0.0
4.0891,7.5417,0.0
2.3937,7.2063,0.0
1.331,6.5355,0.0
1.7358,5.4503,0.0
2.4443,5.8449,0.0
3.1781,4.8979,0.0
4.6711,5.8055,0.0
5.9868,7.3641,0.0
4.6711,6.2592,0.0
7.581,8.3703,0.0
4.6457,8.5676,0.0
4.6457,8.1676,0.0
